idx,project,bug_id,BFC,FFC,FFC_parent_error,FFC_parent_log
0,Math,95,https://github.com/Maes95/commons-math/commit/fbf87122e0f7229892b6dbbf2e211cc46acea008,https://github.com/Maes95/commons-math/commit/5145f82217496e6e32ca70d525f69c33260ffd9c,package junit.swingui does not exist,0-Math-Bug_95.log
1,Closure,136,https://github.com/google/closure-compiler/commit/938f48a60c544f6b7bdb5d49006f654a51ca9a22,https://github.com/google/closure-compiler/commit/6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,<Check file log file>,1-Closure-Bug_136.log
2,Math,35,https://github.com/Maes95/commons-math/commit/a5d8d115cb85149c62059a23e8f4d318cac0e903,https://github.com/Maes95/commons-math/commit/2d698e4905cb75bd125e2fe1f5223d7e68f0adcd,package org.apache.commons.math3.exception does not exist,2-Math-Bug_35.log
3,Lang,44,https://github.com/apache/commons-lang/commit/81f10d7f1ef52d44f43b38d81ac3dc1c83d45134,https://github.com/apache/commons-lang/commit/40da7fe508aa1d3fe08d96e502c896d6d8a7fd48,unmappable character for encoding ASCII,3-Lang-Bug_44.log
4,Mockito,2,https://github.com/mockito/mockito/commit/80452c7a42777513c35fd30c4e12bcd7ee438fb9,https://github.com/mockito/mockito/commit/7cf6470d88491fe472e28493b50eba8a6fbf0433,FFC is first commit,
5,Closure,69,https://github.com/google/closure-compiler/commit/63df133d0850805818d1e280ba47dcefc9763c89,https://github.com/google/closure-compiler/commit/c25df7eca2462861bf42ad8b74215099c3f81ae6,"no suitable method found for init(ArrayList<JSSourceFile>,ArrayList<JSSourceFile>,CompilerOptions)",5-Closure-Bug_69.log
6,Lang,21,https://github.com/apache/commons-lang/commit/55f642725742513824975af0e5e91cb1920b6d72,https://github.com/apache/commons-lang/commit/483f81c04062a9d9bc52b36aba68908d1387b629,cannot find symbol,6-Lang-Bug_21.log
7,Cli,11,https://github.com/apache/commons-cli/commit/d36adebd3547279b709960c902c3fb7b89a9a4ef,https://github.com/apache/commons-cli/commit/df8f8e160c5fc9b955c627c4b65c7ba67088b7ac,cannot find symbol,7-Cli-Bug_11.log
8,JacksonCore,15,https://github.com/FasterXML/jackson-core/commit/ecf088c391de0deb5a4297e51e9ce960b3924e09,https://github.com/FasterXML/jackson-core/commit/e183d16b2f03c06217f221f57ac35b6001d74d3f,<Check file log file>,8-JacksonCore-Bug_15.log
9,JacksonDatabind,32,https://github.com/FasterXML/jackson-databind/commit/d5a25f4300a93f4c411a7b8364d34122bc0a1b62,https://github.com/FasterXML/jackson-databind/commit/4bca471c98e846b74b0de97b6ffa43f27e31d44b,<Check file log file>,9-JacksonDatabind-Bug_32.log
10,Cli,16,https://github.com/apache/commons-cli/commit/f104dd060c6c88450ac9ee9eb818b26374512440,https://github.com/apache/commons-cli/commit/a8a8ec06a85a1090d560dc6cf236663da580863e,"as of release 5, 'enum' is a keyword, and may not be used as an identifier",10-Cli-Bug_16.log
11,Lang,37,https://github.com/apache/commons-lang/commit/ea140fb5c327e2b58f6c5bf1057c7dede909a50c,https://github.com/apache/commons-lang/commit/ebee3bf4348b95eac301489818239cc4596e58bd,cannot find symbol,11-Lang-Bug_37.log
12,Closure,52,https://github.com/google/closure-compiler/commit/5909c3db59b16886917456ab950ef9661a7fe6b1,https://github.com/google/closure-compiler/commit/44293eb57b86f5c984682e610079757ce7d69df1,cannot find symbol,12-Closure-Bug_52.log
13,Closure,117,https://github.com/google/closure-compiler/commit/871bca1f36c5c06aa880ce21429da63a76f8f6e9,https://github.com/google/closure-compiler/commit/70058b0d55c3f003a6fd299cf2e74aa381f10765,"no suitable constructor found for TypeCheck(Compiler,SemanticReverseAbstractInterpreter,JSTypeRegistry,Scope,MemoizedScopeCreator,CheckLevel)",13-Closure-Bug_117.log
14,Lang,31,https://github.com/apache/commons-lang/commit/38bf7048571f3bc8dd34d14691906426444e4381,https://github.com/apache/commons-lang/commit/b1686009b5494119575d43525b0829162ab79853,<Check file log file>,14-Lang-Bug_31.log
15,JacksonDatabind,66,https://github.com/FasterXML/jackson-databind/commit/cd5430a91723ff8cd61928524ec21ab4e14b20f6,https://github.com/FasterXML/jackson-databind/commit/6cfc4457bb8a94694d92c20064a782e7af20705b,<Check file log file>,15-JacksonDatabind-Bug_66.log
16,Jsoup,11,https://github.com/jhy/jsoup/commit/f462438f2ebfb354c823cd2c0b677b0674f0e80c,https://github.com/jhy/jsoup/commit/48a63ff1edb2b35098ca14ff9e03733dd9fab0a6,cannot find symbol,16-Jsoup-Bug_11.log
17,JacksonDatabind,106,https://github.com/FasterXML/jackson-databind/commit/6ef86656aa504309ea3d89cf98ce45d11d6ea9c6,https://github.com/FasterXML/jackson-databind/commit/e8d07eadefc73486db74e8b760c3acc93acfa7a9,<Check file log file>,17-JacksonDatabind-Bug_106.log
18,Cli,35,https://github.com/apache/commons-cli/commit/085a1538fa20d8e48faad49eaffd697f024bf1af,https://github.com/apache/commons-cli/commit/faa6455a9a0bccf29d049f0b0958eb9b2e804fc3,cannot find symbol,18-Cli-Bug_35.log
19,Time,13,https://github.com/JodaOrg/joda-time/commit/5d08a1cdbfa6ce86a0baf637493c464e91e91968,https://github.com/JodaOrg/joda-time/commit/df4a82f4fb46cc2248280c462e18f08d55a3d112,<Check file log file>,19-Time-Bug_13.log
20,Jsoup,28,https://github.com/jhy/jsoup/commit/a31ec08e102fd3832f3ff4449e9163440f0afb2c,https://github.com/jhy/jsoup/commit/f317c04acf821d61601f5d986252db40505153bc,method unescape in class Entities cannot be applied to given types;,20-Jsoup-Bug_28.log
21,Math,43,https://github.com/Maes95/commons-math/commit/dcae84b2e8f025e93340307d8bc04d406202c323,https://github.com/Maes95/commons-math/commit/be5f9de63210e456e385032ad564f0336f38666e,cannot find symbol,21-Math-Bug_43.log
22,Compress,36,https://github.com/apache/commons-compress/commit/d0501577d37b594c3ff59a39ac211f7a1b170fa7,https://github.com/apache/commons-compress/commit/ca16539029cd63e0ab5c9e3cba354a539f94e316,<Check file log file>,22-Compress-Bug_36.log
23,Cli,28,https://github.com/apache/commons-cli/commit/3433f467554985a6bd9bf530a4810376be6fe250,https://github.com/apache/commons-cli/commit/a8a8ec06a85a1090d560dc6cf236663da580863e,"as of release 5, 'enum' is a keyword, and may not be used as an identifier",23-Cli-Bug_28.log
24,JacksonDatabind,23,https://github.com/FasterXML/jackson-databind/commit/6172d7561007a941b01f960dd44d94a92f3ad763,https://github.com/FasterXML/jackson-databind/commit/ae465badef2cf1ebf1c149c9030258bad8bca080,Parser is not abstract and does not override abstract method overrideCurrentName(String) in ParserMinimalBase,24-JacksonDatabind-Bug_23.log
25,Compress,23,https://github.com/apache/commons-compress/commit/cbb5a1ad9b0b80f717ee71dc0fc765afdc1601c0,https://github.com/apache/commons-compress/commit/ca16539029cd63e0ab5c9e3cba354a539f94e316,<Check file log file>,25-Compress-Bug_23.log
26,Gson,2,https://github.com/google/gson/commit/fe101c10bc3597d8e715a31d94d2cc0cc54b660f,https://github.com/google/gson/commit/7e760143fdc8b689daeebdee33ad6ea7d0a62a56,cannot find symbol,26-Gson-Bug_2.log
27,JacksonDatabind,29,https://github.com/FasterXML/jackson-databind/commit/30b5469753686548ca7a590dd1bc5114181e68a9,https://github.com/FasterXML/jackson-databind/commit/9e73a1f1b4df1c6925f6bf959b336bce4e46ee55,<Check file log file>,27-JacksonDatabind-Bug_29.log
28,Closure,130,https://github.com/google/closure-compiler/commit/9fac3ccd2fa9e6137584f079db1a6f5962a65cf4,https://github.com/google/closure-compiler/commit/4d98fc9034031ee146c7e5534a150e2700d89f8e,cannot find symbol,28-Closure-Bug_130.log
29,Codec,5,https://github.com/apache/commons-codec/commit/800f0531068ebaf2f2d257bb1bd805781ddd4760,https://github.com/apache/commons-codec/commit/20a88d9b49beda71ddee69af92872716fd00f13a,cannot find symbol,29-Codec-Bug_5.log
30,Codec,9,https://github.com/apache/commons-codec/commit/c5291ab1ca4d4d7a041874a66b1c05b7d5c02ccb,https://github.com/apache/commons-codec/commit/3040f29dc4a84d5ff8e6d743f27240656bfebd82,no suitable method found for isBase64(byte[]),30-Codec-Bug_9.log
31,Lang,56,https://github.com/apache/commons-lang/commit/672e3a8ead2970181c32cf5fc70a3ea3d020c1fc,https://github.com/apache/commons-lang/commit/c2003e4aa91120db3b91cdc659aded992bc68f58,no suitable method found for format(long),31-Lang-Bug_56.log
32,Closure,4,https://github.com/google/closure-compiler/commit/efefb736fccc2039b5fb079710b3f2ac82b8c6e4,https://github.com/google/closure-compiler/commit/e14000ea47087087d79dd4e5b7425439c7e5c12a,cannot find symbol,32-Closure-Bug_4.log
33,Compress,22,https://github.com/apache/commons-compress/commit/71e4eeadcfc5eb390eca1142fc1f6ee5b1b4d5c1,https://github.com/apache/commons-compress/commit/ca16539029cd63e0ab5c9e3cba354a539f94e316,<Check file log file>,33-Compress-Bug_22.log
34,Csv,1,https://github.com/apache/commons-csv/commit/de1838ea067f3fbc4c7c21b9eeae077c739ecb73,https://github.com/apache/commons-csv/commit/38741a48c692ae2fc13cd2445e77ace6ecea1156,constructor CSVFormat in class CSVFormat cannot be applied to given types;,34-Csv-Bug_1.log
35,Closure,55,https://github.com/google/closure-compiler/commit/f2c0cb1f67ecb3315c0cb11326c9cb04db07ee8a,https://github.com/google/closure-compiler/commit/449fdd3c1163cf42d9caa4e7382e37f20f2ca6ac,cannot find symbol,35-Closure-Bug_55.log
36,Closure,38,https://github.com/google/closure-compiler/commit/8cf08115c6b252f8c6b54348a4089dccc45a01fb,https://github.com/google/closure-compiler/commit/04ba01ff0c7a9a9c64205303a9dcca346da501a5,cannot find symbol,36-Closure-Bug_38.log
37,Closure,133,https://github.com/google/closure-compiler/commit/4fbbc47cb18f241b23dd2d4bf9c15d45b2473523,https://github.com/google/closure-compiler/commit/44ebf6062655dc55d0569c80ce7806100435fba0,method createTemplatizedType in class BaseJSTypeTestCase cannot be applied to given types;,37-Closure-Bug_133.log
38,Collections,25,https://github.com/apache/commons-collections/commit/73d69dfe8677210e44049bc1a2a7d1ff85bc1ca7,https://github.com/apache/commons-collections/commit/2d00ed4676f637af5d81333d750c74e3ad185313,<Check file log file>,38-Collections-Bug_25.log
39,JacksonDatabind,57,https://github.com/FasterXML/jackson-databind/commit/bbd8190030022df404a8f7c47c1bc32e990cb0d2,https://github.com/FasterXML/jackson-databind/commit/4bca471c98e846b74b0de97b6ffa43f27e31d44b,<Check file log file>,39-JacksonDatabind-Bug_57.log
40,Closure,169,https://github.com/google/closure-compiler/commit/ac239c7c53aa4d6c3105f600dec8af69da530883,https://github.com/google/closure-compiler/commit/d0f6017ead696c8bc68f01b167d9e9bb4b091921,cannot find symbol,40-Closure-Bug_169.log
41,Jsoup,17,https://github.com/jhy/jsoup/commit/3d6f1e47ccf93d01364ed5f7603fa66d43eae0e2,https://github.com/jhy/jsoup/commit/e256bb7fc5979de256371bb324f1ca1330e38112,cannot find symbol,41-Jsoup-Bug_17.log
42,Mockito,21,https://github.com/mockito/mockito/commit/8912aa176ea8414c2fc57df0d9b030b918630e9f,https://github.com/mockito/mockito/commit/7cf6470d88491fe472e28493b50eba8a6fbf0433,FFC is first commit,
43,JxPath,5,https://github.com/apache/commons-jxpath/commit/2a01dfaf8d6abbabc7e4cd5cfd05d2e0b4886708,https://github.com/apache/commons-jxpath/commit/36f069cec063cf1638cc07c3e886ac27f3f1557c,"as of release 5, 'enum' is a keyword, and may not be used as an identifier",43-JxPath-Bug_5.log
44,JacksonCore,22,https://github.com/FasterXML/jackson-core/commit/6feec20c842586056aa5b19c402b26be08c88ca3,https://github.com/FasterXML/jackson-core/commit/e183d16b2f03c06217f221f57ac35b6001d74d3f,<Check file log file>,44-JacksonCore-Bug_22.log
45,Closure,25,https://github.com/google/closure-compiler/commit/2e904fcdc3bc09e3bff557fcfca383ba7e450095,https://github.com/google/closure-compiler/commit/06c4d2f84718b7ad601a1429420d000911192d80,package com.google.javascript.jscomp.type does not exist,45-Closure-Bug_25.log
46,Compress,20,https://github.com/apache/commons-compress/commit/040e42d0f0bebc15ca80cb80fb6db53804b2e082,https://github.com/apache/commons-compress/commit/ca16539029cd63e0ab5c9e3cba354a539f94e316,<Check file log file>,46-Compress-Bug_20.log
47,Compress,5,https://github.com/apache/commons-compress/commit/dc3fc4703211876fb38cccf55adc92ee5cbc28d0,https://github.com/apache/commons-compress/commit/008ca948dadacea8d1a2662c577fdcb25f32d5e2,constructor ZipArchiveInputStream in class ZipArchiveInputStream cannot be applied to given types;,47-Compress-Bug_5.log
48,JacksonDatabind,101,https://github.com/FasterXML/jackson-databind/commit/644831ce403590db4dbeb8ee47adb3c393438fb2,https://github.com/FasterXML/jackson-databind/commit/d252da8748f46408de3d18c2d75952e30e1dea40,<Check file log file>,48-JacksonDatabind-Bug_101.log
49,Math,4,https://github.com/Maes95/commons-math/commit/277e61721f34be16a20da663fd597edf6b51939b,https://github.com/Maes95/commons-math/commit/2d698e4905cb75bd125e2fe1f5223d7e68f0adcd,package org.apache.commons.math3.exception does not exist,49-Math-Bug_4.log
50,JxPath,15,https://github.com/apache/commons-jxpath/commit/497ed5f8b0bb95ad7a97ea5f0cc517a0420e422f,https://github.com/apache/commons-jxpath/commit/36f069cec063cf1638cc07c3e886ac27f3f1557c,"as of release 5, 'enum' is a keyword, and may not be used as an identifier",50-JxPath-Bug_15.log
51,Gson,18,https://github.com/google/gson/commit/b1fb9ca9a1bea5440bc6a5b506ccf67236b08243,https://github.com/google/gson/commit/57d1f32de5bf3a7dd54613384cc7e979fba2660b,FFC is first commit,
52,Mockito,11,https://github.com/mockito/mockito/commit/1802cf79c482f2df29abb3d6735bcf0b16cedb7d,https://github.com/mockito/mockito/commit/624f2627be1501169bbb0c0d4423b4f6cd8a4baf,cannot find symbol,52-Mockito-Bug_11.log
53,Cli,9,https://github.com/apache/commons-cli/commit/fea35870b69c0d37ab36ab6783edbc7aacc0842c,https://github.com/apache/commons-cli/commit/a8a8ec06a85a1090d560dc6cf236663da580863e,"as of release 5, 'enum' is a keyword, and may not be used as an identifier",53-Cli-Bug_9.log
54,JacksonDatabind,69,https://github.com/FasterXML/jackson-databind/commit/d44600d3750e5dba9fac68aee7248ed2a80a2225,https://github.com/FasterXML/jackson-databind/commit/ae465badef2cf1ebf1c149c9030258bad8bca080,Parser is not abstract and does not override abstract method overrideCurrentName(String) in ParserMinimalBase,54-JacksonDatabind-Bug_69.log
55,Closure,105,https://github.com/google/closure-compiler/commit/113a08f59e8116fb11a7d4ceb11d5bb09b74ac3c,https://github.com/google/closure-compiler/commit/6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,<Check file log file>,55-Closure-Bug_105.log
56,Jsoup,49,https://github.com/jhy/jsoup/commit/b2e37fca64877104cfdad3f56cdc2c8b98cb6be1,https://github.com/jhy/jsoup/commit/eafba57cb72af5b8980bc1ed75edf4a08e1cc43f,"no suitable method found for attr(String,boolean)",56-Jsoup-Bug_49.log
57,Lang,28,https://github.com/apache/commons-lang/commit/3e1afecc200d7e3be9537c95b7cf52a7c5031300,https://github.com/apache/commons-lang/commit/b1686009b5494119575d43525b0829162ab79853,<Check file log file>,57-Lang-Bug_28.log
58,Jsoup,58,https://github.com/jhy/jsoup/commit/f44d6e64ac97d4a5c119e3e22f22f4d87c94b7e1,https://github.com/jhy/jsoup/commit/3a158cfbcfe70c9a921b9ea525e2cd8113193219,missing return statement,58-Jsoup-Bug_58.log
59,Codec,13,https://github.com/apache/commons-codec/commit/37ba197e62d6b60037d18afc33801e6221f1b8c6,https://github.com/apache/commons-codec/commit/c1e0ec2ef4af22f490391871fed4339530717f7d,type StringEncoderAbstractTest does not take parameters,59-Codec-Bug_13.log
60,JacksonDatabind,19,https://github.com/FasterXML/jackson-databind/commit/354e1390bc397ef048ffd5d905b0709a3a2585ef,https://github.com/FasterXML/jackson-databind/commit/e507a88cd98f54cdc1e4774d1f8257956d605d62,<Check file log file>,60-JacksonDatabind-Bug_19.log
61,Closure,5,https://github.com/google/closure-compiler/commit/59eec92e364b2ec2cec9dd63449f5c0134983f18,https://github.com/google/closure-compiler/commit/23cf56d241b46465bd0f112ad0cc9c6ba5583fae,cannot find symbol,61-Closure-Bug_5.log
62,Compress,13,https://github.com/apache/commons-compress/commit/c75c10faae27781aeb51713f42153cad1fd242a4,https://github.com/apache/commons-compress/commit/ca16539029cd63e0ab5c9e3cba354a539f94e316,<Check file log file>,62-Compress-Bug_13.log
63,Math,104,https://github.com/Maes95/commons-math/commit/e39a7750ef362679599b623b05bfadb150832515,https://github.com/Maes95/commons-math/commit/5145f82217496e6e32ca70d525f69c33260ffd9c,package junit.swingui does not exist,63-Math-Bug_104.log
64,Closure,71,https://github.com/google/closure-compiler/commit/db1fdf97454a6e4ff2d29cab5f1ef2273b54c0b4,https://github.com/google/closure-compiler/commit/9360326ac90197b8740b23146ffd84f7e1886139,unmappable character for encoding ASCII,64-Closure-Bug_71.log
65,JacksonDatabind,15,https://github.com/FasterXML/jackson-databind/commit/119ddc9701c94ac184362166742ceaa7437eec8f,https://github.com/FasterXML/jackson-databind/commit/e507a88cd98f54cdc1e4774d1f8257956d605d62,<Check file log file>,65-JacksonDatabind-Bug_15.log
66,Lang,57,https://github.com/apache/commons-lang/commit/bbd990b81fd7f8ab9dde75c8070b973b9ce500fc,https://github.com/apache/commons-lang/commit/afc1bee39251defc9af3966b90e17c184e52fe58,unreported exception IOException; must be caught or declared to be thrown,66-Lang-Bug_57.log
67,Csv,16,https://github.com/apache/commons-csv/commit/f368f64fa7f9acdcc01084f676e8b9c2b86f946e,https://github.com/apache/commons-csv/commit/aae6f90442ca09e2461e766a987b33316d9fa6be,<Check file log file>,67-Csv-Bug_16.log
68,Closure,35,https://github.com/google/closure-compiler/commit/22784dc96c391b01692ce686eb93b9aa0ef74ede,https://github.com/google/closure-compiler/commit/8b7e4f656bd5c067543681a721d9f69324ea7a10,cannot find symbol,68-Closure-Bug_35.log
69,Math,60,https://github.com/Maes95/commons-math/commit/9054aac4b948117b838d6a5b15be1f50965d805a,https://github.com/Maes95/commons-math/commit/3693e024d208baa431442218ed5b2f9f7a6d43e7,cannot find symbol,69-Math-Bug_60.log
70,Cli,17,https://github.com/apache/commons-cli/commit/9c5ce3501938cff01d78b7a1fff10a60abe9e0cf,https://github.com/apache/commons-cli/commit/0a8de54ff89093fc8c5a2b00f7c0c856c5cbe57d,cannot find symbol,70-Cli-Bug_17.log
71,Lang,35,https://github.com/apache/commons-lang/commit/80bd78ea0685d28ddec9b8162d652db9dec949ce,https://github.com/apache/commons-lang/commit/b1686009b5494119575d43525b0829162ab79853,<Check file log file>,71-Lang-Bug_35.log
72,Jsoup,56,https://github.com/jhy/jsoup/commit/c28e5bf53a9ce9e32ab84ce2e6eba87ec747d1a0,https://github.com/jhy/jsoup/commit/433d2f180058b8b73e1951c6cfbb986714e68b0f,cannot find symbol,72-Jsoup-Bug_56.log
73,Lang,29,https://github.com/apache/commons-lang/commit/982e295053663787bb0396b81a8956c3c87dc25b,https://github.com/apache/commons-lang/commit/ef9524aed96ca4d195fc390ece625a902fb37f4b,cannot find symbol,73-Lang-Bug_29.log
74,Jsoup,25,https://github.com/jhy/jsoup/commit/94002db5f90395b8927ae69c569e5a0726dd00c4,https://github.com/jhy/jsoup/commit/f8a5dfb037d363a6b6657fa71af59b66c6bec257,incompatible types: int cannot be converted to boolean,74-Jsoup-Bug_25.log
75,JacksonDatabind,104,https://github.com/FasterXML/jackson-databind/commit/83c7c4347055c3a70a3115fa106aa69c9cb56456,https://github.com/FasterXML/jackson-databind/commit/45d44086f6c2ba83e4665d404fc2b875ab2ef246,<Check file log file>,75-JacksonDatabind-Bug_104.log
76,JacksonDatabind,64,https://github.com/FasterXML/jackson-databind/commit/ea30c7b4d7c4621f777aed4cb4552a2c1e2270a4,https://github.com/FasterXML/jackson-databind/commit/6cfc4457bb8a94694d92c20064a782e7af20705b,<Check file log file>,76-JacksonDatabind-Bug_64.log
77,Math,27,https://github.com/Maes95/commons-math/commit/5f2077bb774d283e7984a2d5dc0c2759f2954963,https://github.com/Maes95/commons-math/commit/2d698e4905cb75bd125e2fe1f5223d7e68f0adcd,package org.apache.commons.math3.exception does not exist,77-Math-Bug_27.log
78,Csv,9,https://github.com/apache/commons-csv/commit/2480dffa6d8343b189c6fb57b88b325c45f0b83f,https://github.com/apache/commons-csv/commit/2414250b697e606d23e6055a5c72a11b5b28c2ee,<Check file log file>,78-Csv-Bug_9.log
79,Math,94,https://github.com/Maes95/commons-math/commit/a96e597894562c2cf01fc678f6c435d65ccc31c5,https://github.com/Maes95/commons-math/commit/d3b7d9adc2b787c864e649edb1d5ed6020dd1cff,cannot find symbol,79-Math-Bug_94.log
80,Closure,96,https://github.com/google/closure-compiler/commit/807aaf2569e9eb09761068c5aeb95654daea30d9,https://github.com/google/closure-compiler/commit/c25df7eca2462861bf42ad8b74215099c3f81ae6,"no suitable method found for init(ArrayList<JSSourceFile>,ArrayList<JSSourceFile>,CompilerOptions)",80-Closure-Bug_96.log
81,Jsoup,79,https://github.com/jhy/jsoup/commit/1028b37a1dfbc5dda7b18cbe692ab168c54fb505,https://github.com/jhy/jsoup/commit/f71712ba5d28df09c9a5b6e3c8a37f05f5e3372d,<Check file log file>,81-Jsoup-Bug_79.log
82,JacksonDatabind,83,https://github.com/FasterXML/jackson-databind/commit/9a083ad56b20711eab368a7818fb079a870feb93,https://github.com/FasterXML/jackson-databind/commit/6cfc4457bb8a94694d92c20064a782e7af20705b,<Check file log file>,82-JacksonDatabind-Bug_83.log
83,Closure,128,https://github.com/google/closure-compiler/commit/d82fb38b0121bf690cea58df293185c7e91ded9c,https://github.com/google/closure-compiler/commit/e97b7c780615e11ebe76e034b44ef0ef28a5520a,cannot find symbol,83-Closure-Bug_128.log
84,Lang,27,https://github.com/apache/commons-lang/commit/c2560c028173c3bc0a4627d4ce5ce221bcc9be66,https://github.com/apache/commons-lang/commit/b1686009b5494119575d43525b0829162ab79853,<Check file log file>,84-Lang-Bug_27.log
85,Closure,138,https://github.com/google/closure-compiler/commit/1f5edbcd2b5b09ec59151137e643d9ce75ef1055,https://github.com/google/closure-compiler/commit/6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,<Check file log file>,85-Closure-Bug_138.log
86,JacksonDatabind,49,https://github.com/FasterXML/jackson-databind/commit/644487bf9b525b26734bfda1780b272b52631c5e,https://github.com/FasterXML/jackson-databind/commit/3fdbf62dfe38c1a17521abfeae615593f228123d,<Check file log file>,86-JacksonDatabind-Bug_49.log
87,Time,18,https://github.com/JodaOrg/joda-time/commit/b609d7d66d180f2eb537b27f5d605d0596e096ce,https://github.com/JodaOrg/joda-time/commit/53feb3fa56af7260e607844524b7e5a9be49ecc1,<Check file log file>,87-Time-Bug_18.log
88,Jsoup,66,https://github.com/jhy/jsoup/commit/c324fabe86c0a59eb635610dc85d8d7a7be25c74,https://github.com/jhy/jsoup/commit/f71712ba5d28df09c9a5b6e3c8a37f05f5e3372d,<Check file log file>,88-Jsoup-Bug_66.log
89,JacksonDatabind,39,https://github.com/FasterXML/jackson-databind/commit/308ed4ed89b32d119b5994e457597275c6a0af7d,https://github.com/FasterXML/jackson-databind/commit/4bca471c98e846b74b0de97b6ffa43f27e31d44b,<Check file log file>,89-JacksonDatabind-Bug_39.log
90,JacksonXml,6,https://github.com/FasterXML/jackson-dataformat-xml/commit/8fd9463dad8d2232c1e947403ead465d6a3e5f73,https://github.com/FasterXML/jackson-dataformat-xml/commit/86e0e24cc41c60c77f5a63cdacf15f448979dc2c,unreported exception IOException; must be caught or declared to be thrown|#|method does not override or implement a method from a supertype,90-JacksonXml-Bug_6.log|#|90-JacksonXml-Bug_6.log
91,Jsoup,5,https://github.com/jhy/jsoup/commit/62afbdf6a85fec75fde38d327928a180bc5bccb3,https://github.com/jhy/jsoup/commit/fcab98cdd311deb3dd4fd63fef2bc6c4c397f186,cannot find symbol,91-Jsoup-Bug_5.log
92,JacksonDatabind,30,https://github.com/FasterXML/jackson-databind/commit/ca6c3fc55eb74e21fe90e18da33723fb99b22f21,https://github.com/FasterXML/jackson-databind/commit/4bca471c98e846b74b0de97b6ffa43f27e31d44b,<Check file log file>,92-JacksonDatabind-Bug_30.log
93,Gson,13,https://github.com/google/gson/commit/9a2421997e83ec803c88ea370a2d102052699d3b,https://github.com/google/gson/commit/fbc7e69c81b5635e6488e6b366f6bdd31cec8d15,<Check file log file>,93-Gson-Bug_13.log
94,JacksonDatabind,110,https://github.com/FasterXML/jackson-databind/commit/83264a7e377bd3399f0b550460077959aaece16d,https://github.com/FasterXML/jackson-databind/commit/6cfc4457bb8a94694d92c20064a782e7af20705b,<Check file log file>,94-JacksonDatabind-Bug_110.log
95,Jsoup,63,https://github.com/jhy/jsoup/commit/35bceca331e07938a9c4cd62d68e08740cd39575,https://github.com/jhy/jsoup/commit/6569bb7a3671cb7241c6fcb6e0f1eef7a39f7a1d,cannot find symbol,95-Jsoup-Bug_63.log
96,Math,36,https://github.com/Maes95/commons-math/commit/1a15d5f4c13eca0435b0ed7e6a624064e7f7e07f,https://github.com/Maes95/commons-math/commit/9e6b0f8c9a7d1f3e450fc4805ea93fde4ef205ac,unreported exception FractionConversionException; must be caught or declared to be thrown,96-Math-Bug_36.log
97,Mockito,26,https://github.com/mockito/mockito/commit/af44738c7de74f24e37ea0c1242e73b07c3f4362,https://github.com/mockito/mockito/commit/7cf6470d88491fe472e28493b50eba8a6fbf0433,FFC is first commit,
98,JacksonCore,6,https://github.com/FasterXML/jackson-core/commit/d99951470163764b3e01a119dab2822e5fd98204,https://github.com/FasterXML/jackson-core/commit/2d1e19e852c77b515622d518a238d8959ea2393e,cannot find symbol,98-JacksonCore-Bug_6.log
99,Math,59,https://github.com/Maes95/commons-math/commit/5dcca48038fb6274cc155251d09db12746ccce71,https://github.com/Maes95/commons-math/commit/1eb0c0d7421823470de3a901643ae3be2c9e0a8e,package org.apache.commons.math.dfp does not exist,99-Math-Bug_59.log
